1 ':' 1537982740882 1537982737856 3026
2 ':' 1537982749126 1537982742902 6224
3 ':' 1537982760563 1537982751158 9405
4 ':' 1537982775457 1537982762743 12714
5 ':' 1537982793947 1537982777558 16389
6 ':' 1537982815206 1537982795956 19250
7 ':' 1537982839623 1537982817213 22410
8 ':' 1537982868133 1537982841732 26401
9 ':' 1537982899588 1537982870032 29556
10 ':' 1537982935282 1537982901614 33668
11 ':' 1537982975458 1537982937138 38320
12 ':' 1537983020434 1537982977149 43285
13 ':' 1537983068202 1537983022201 46001
14 ':' 1537983120465 1537983070066 50399
15 ':' 1537983177212 1537983122383 54829
16 ':' 1537983239594 1537983178992 60602
17 ':' 1537983305707 1537983241307 64400
18 ':' 1537983377927 1537983307321 70606
19 ':' 1537983454670 1537983379708 74962
20 ':' 1537983538024 1537983456197 81827
21 ':' 1537983625646 1537983538788 86858
22 ':' 1537983718598 1537983627153 91445
23 ':' 1537983818116 1537983720016 98100
24 ':' 1537983925754 1537983819460 106294
