10 ':' 1537871164839 1537871164760 79
10 ':' 1537871167941 1537871167849 92
10 ':' 1537871171146 1537871170881 265
10 ':' 1537871174461 1537871174426 35
10 ':' 1537871177549 1537871177469 80
10 ':' 1537871180963 1537871180836 127
10 ':' 1537871184264 1537871183969 295
10 ':' 1537871187300 1537871187269 31
10 ':' 1537871191619 1537871190603 1016
10 ':' 1537871195097 1537871194906 191
10 ':' 1537871198297 1537871198100 197
10 ':' 1537871201507 1537871201298 209
10 ':' 1537871204613 1537871204508 105
10 ':' 1537871207661 1537871207621 40
10 ':' 1537871211087 1537871210938 149
10 ':' 1537871214304 1537871214088 216
10 ':' 1537871217439 1537871217306 133
10 ':' 1537871220484 1537871220447 37
10 ':' 1537871223701 1537871223487 214
10 ':' 1537871226742 1537871226704 38
20 ':' 1537871230262 1537871230228 34
20 ':' 1537871233343 1537871233264 79
20 ':' 1537871236349 1537871236300 49
20 ':' 1537871239446 1537871239358 88
20 ':' 1537871242662 1537871242394 268
20 ':' 1537871245765 1537871245668 97
20 ':' 1537871248749 1537871248711 38
20 ':' 1537871251838 1537871251753 85
20 ':' 1537871255085 1537871254800 285
20 ':' 1537871258128 1537871258086 42
20 ':' 1537871261174 1537871261131 43
20 ':' 1537871264543 1537871264443 100
20 ':' 1537871267768 1537871267486 282
20 ':' 1537871271228 1537871271046 182
20 ':' 1537871274545 1537871274490 55
20 ':' 1537871278075 1537871277854 221
20 ':' 1537871281259 1537871281077 182
20 ':' 1537871284556 1537871284212 344
20 ':' 1537871288057 1537871287856 201
20 ':' 1537871291669 1537871291349 320
30 ':' 1537871295493 1537871295455 38
30 ':' 1537871300214 1537871298498 1716
30 ':' 1537871305592 1537871303625 1967
30 ':' 1537871310588 1537871308891 1697
30 ':' 1537871314244 1537871313933 311
30 ':' 1537871317739 1537871317250 489
30 ':' 1537871321555 1537871321010 545
30 ':' 1537871325026 1537871324855 171
30 ':' 1537871328251 1537871328032 219
30 ':' 1537871331854 1537871331252 602
30 ':' 1537871335945 1537871335163 782
30 ':' 1537871339304 1537871339249 55
30 ':' 1537871342346 1537871342305 41
30 ':' 1537871345615 1537871345349 266
30 ':' 1537871349893 1537871349069 824
30 ':' 1537871353373 1537871353188 185
30 ':' 1537871356953 1537871356375 578
30 ':' 1537871360533 1537871360305 228
30 ':' 1537871363671 1537871363536 135
30 ':' 1537871367120 1537871366958 162
40 ':' 1537871370382 1537871370341 41
40 ':' 1537871373496 1537871373388 108
40 ':' 1537871376950 1537871376752 198
40 ':' 1537871380403 1537871380234 169
40 ':' 1537871383902 1537871383696 206
40 ':' 1537871387124 1537871386904 220
40 ':' 1537871390216 1537871390125 91
40 ':' 1537871393337 1537871393218 119
40 ':' 1537871396743 1537871396620 123
40 ':' 1537871399791 1537871399749 42
40 ':' 1537871402968 1537871402792 176
40 ':' 1537871406287 1537871405970 317
